3007	3250
1493	2869
1390	4001
34	1238
673	2824
1746	2157
409	843
51	907
1318	3061
2075	3671
2054	3135
1852	3233
418	1236
344	1406
2339	2729
1408	1433
2514	3783
148	678
224	767
486	650
3232	3261
784	917
3161	4004
2241	3466
686	1508
1320	1877
1503	2823
2020	3243
3339	3841
82	1291
761	2729
104	2099
651	2247
289	1766
1778	4132
155	667
287	3701
437	2474
1365	1390
1390	3858
1872	1991
3127	3917
857	2429
3324	3475
1988	3111
1491	3401
2921	3274
900	1501
1435	2150
686	3688
251	481
1784	2061
935	3227
3309	3765
560	2020
592	1312
624	1039
20	2651
381	1551
3386	3579
137	4073
226	1347
480	2689
2219	2847
3459	3842
806	3216
176	1419
103	471
251	2474
776	3491
157	379
1488	2462
2555	3672
2613	3671
2976	2996
444	3055
2074	3887
2114	2661
2380	2885
1152	2370
3121	3288
206	2016
2749	2968
1499	1741
1237	4020
3369	3736
796	2319
2924	3508
1093	1964
3224	3827
1886	2474
2541	3261
1883	2750
132	816
519	2963
660	972
2413	3207
1524	3345
849	4066
2453	3657
2653	3102
1460	2180
595	2489
1154	1482
962	3680
2555	2908
3224	4057
38	1261
758	1631
1279	2715
3585	3610
805	3289
2312	3378
1318	3419
927	3552
866	1991
244	289
73	883
3882	4068
1302	4048
40	2276
84	3724
36	483
395	2887
658	2363
1387	3028
1855	2441
743	3022
152	1734
1282	1716
2776	3485
305	3538
1767	1810
2714	3741
180	3890
389	3321
2410	2718
3371	4057
2193	2431
4007	4098
1517	2510
1096	3792
1862	3202
1807	1851
1230	4007
2665	2721
936	1057
3133	3917
3025	3858
3286	3744
3211	3643
36	3371
2588	3157
847	970
1088	3254
175	2607
1732	3292
920	2233
2783	3769
1911	2052
229	904
766	2389
176	3909
481	2511
3992	4075
307	1784
1565	2488
3701	3764
1592	2649
1976	3206
1871	2969
31	3854
600	3960
1541	2576
1237	2350
1732	4092
29	1363
598	3774
927	1028
1516	3642
783	1291
515	1953
1539	4126
35	2921
1196	2561
113	380
2788	3571
784	4120
1602	3163
2506	3797
829	2396
852	2533
2389	3578
1767	2487
3149	3584
1705	3169
1486	2477
667	2668
2353	3782
917	2113
651	4053
2516	3386
1382	1586
2150	2522
2457	3057
280	3503
1680	3110
1385	3193
999	1976
1200	2418
2329	3596
1597	3235
1437	1503
3227	3389
1430	3613
809	3433
234	2020
1565	3766
1385	3909
2679	3437
92	2582
3383	3421
211	3169
578	1809
991	3899
1491	2526
1975	3130
2402	4076
1933	3543
2468	3729
1969	2006
2016	3397
513	2284
2377	2384
1157	1697
513	2579
3509	3953
3133	4120
3	2237
1528	3127
35	3503
484	2684
3371	3421
36	1318
168	3057
1291	3095
1104	2657
2516	3133
344	3092
2370	3999
794	3084
2761	3157
744	2921
1474	3794
534	1031
2374	2729
2106	3133
150	1586
3317	3422
833	886
907	1486
1482	1837
1846	2106
927	2061
39	569
812	1719
2380	2930
3579	3961
3331	3406
1565	1698
3135	3805
47	355
3292	4057
1458	1800
2085	2104
1231	1960
1610	2555
936	1440
2312	3408
1154	1253
1468	3553
2034	2468
1196	2924
1575	3166
2389	3899
1114	1736
885	3241
110	659
251	3371
2169	3944
2519	3846
2523	2729
2145	2383
166	4115
3090	3896
19	182
1175	2009
2984	3755
2538	2878
1396	3625
199	1059
638	1971
1240	3409
1078	3992
3112	3243
2272	4151
56	2180
365	761
2319	3676
1970	3509
1890	4085
3038	3844
3317	3596
2113	3248
2146	2981
1365	3505
78	2842
1886	2299
371	4141
2383	2403
640	2020
99	3768
122	1956
750	1777
2383	2885
130	3851
17	1670
477	903
1463	1961
1855	2660
1154	1970
2452	4034
1005	2984
2979	3823
1265	2393
595	2597
3378	3909
917	3357
358	2928
1440	3715
751	1433
430	516
783	2770
2582	3644
2381	3244
214	3017
2225	2851
3112	3298
283	2413
502	1776
3050	4030
2152	2322
2389	3316
1291	3258
1237	3474
2552	3871
1199	3781
182	1096
1486	3909
2984	3784
483	1886
114	3244
2094	2478
960	3709
2356	2929
1060	2513
2063	3905
3097	3539
2729	3827
1832	2380
1581	3509
1237	3923
3133	4115
772	4124
2967	3924
795	2827
984	2809
396	1834
24	3038
1105	1618
313	1329
2717	3579
1736	2374
397	4038
1661	3134
3217	4008
601	2344
1881	3170
35	1453
2569	3102
1253	3408
282	2247
2128	2785
1424	3847
1137	4108
1846	2103
35	1382
648	2241
1404	1943
335	2247
343	1482
280	3903
1657	4025
1699	3808
2576	2579
391	2835
1548	3527
2057	3570
2126	3170
1514	1578
530	2561
1626	2985
1242	1732
3698	3915
2289	2299
176	3769
3160	3421
2695	4151
1252	3248
176	2610
918	1200
2770	3095
2969	3322
224	684
1686	3698
1810	2994
3536	3961
219	1541
906	3511
205	2654
681	3067
166	2717
3684	3781
3475	4051
1281	2329
218	763
1096	3921
984	2460
2106	3227
1844	3292
1846	3917
2628	4115
883	3369
136	1220
1131	2346
3127	3133
1587	1646
917	2106
35	1736
812	2921
1043	1586
1223	1253
1561	2018
2358	2996
3241	3610
885	3144
35	3274
288	1989
3161	3223
1736	1844
1308	3935
93	1327
1419	1837
1059	3982
2827	3357
3680	3753
33	2106
1530	3680
1283	2073
1586	2640
1565	3059
924	3836
3462	3871
1124	3112
1284	3805
2225	2824
574	2695
389	3346
383	2499
437	3224
2577	2759
1475	3218
1736	2921
736	2479
1075	2946
1541	2257
2021	3988
985	3085
331	3479
560	3792
380	655
2028	3218
425	2229
1941	3345
2610	3715
181	348
764	837
1217	2232
219	1863
483	3827
2575	3368
1057	3378
632	1589
2812	4154
21	2651
956	3463
1318	2521
601	3496
2978	3190
483	812
74	1772
163	1368
3567	3723
184	3905
935	2846
930	2116
261	1123
2576	3601
646	2785
438	2996
3060	3627
437	481
2187	3661
27	2852
2950	3699
2007	3686
421	2276
2247	3437
2208	4109
1069	1346
80	3204
934	1371
1505	1960
927	2706
885	3038
761	2289
520	522
12	2619
1022	3342
1266	2574
1675	1735
616	1300
1475	3472
1905	3761
516	1274
824	2533
1639	2576
2966	3908
1994	3924
1527	3389
1070	2278
343	3378
1067	3261
1732	3251
399	1508
686	2637
1503	1855
1444	3264
934	3828
1059	2317
2176	3276
2474	3827
3288	3307
2312	3193
692	1610
108	2643
1987	3924
1008	1844
3556	3821
2339	2511
2579	2637
1872	2506
3259	3479
3682	3929
3170	3849
2692	4038
2649	2921
49	3094
1223	1581
1231	2529
3739	3924
2922	3975
1793	2994
1653	2925
2710	3330
2384	3953
708	2994
20	896
2679	3796
3875	4018
1905	2612
2765	3792
1825	1840
3328	3419
2289	3421
49	1579
3357	4120
299	2978
440	2643
1444	1960
1310	3163
92	1748
311	441
2529	3899
1223	2377
1429	3613
312	2295
2501	2808
917	3386
621	1938
1565	3056
1943	2491
1830	2064
1275	3872
1504	3204
3612	3981
318	3621
2492	4151
796	1372
483	3735
1401	3857
150	251
2266	2341
1411	3378
1858	3734
1357	2280
1633	3765
168	2731
2472	2521
925	1021
3065	3073
819	1113
1402	2343
1864	3115
839	1090
1897	2295
1541	4004
795	2113
1231	3233
314	3621
1187	1765
3054	3740
199	1936
2145	3112
936	3643
1075	1789
